flight_number,airline,passengers,arrival_date,arrival_time
981,B6,1069,20130101,19000101100800
983,B6,1010,20130101,19000101103800
1294,UA,1065,20130101,19000101132300
75,US,2133,20130101,19000101133600
2099,AA,1096,20130101,19000101140200
3792,9E,264,20130101,19000101165100
4333,MQ,340,20130101,19000101170500
2081,WN,738,20130101,19000101170900
1790,AA,187,20130101,19000101174600
157,B6,944,20130101,19000101184700
4525,MQ,1147,20130101,19000101193400
4179,EV,569,20130101,19000101210700
618,UA,1372,20130101,19000101213200
461,DL,762,20130102,19000101083700
1199,UA,200,20130102,19000101084400
4233,EV,266,20130102,19000101091200
1601,B6,1080,20130102,19000101104700
2171,US,214,20130102,19000101120200
545,B6,1023,20130102,19000101133600
2175,DL,1035,20130102,19000101144200
4497,EV,277,20130102,19000101150900
4674,MQ,419,20130102,19000101200000
4661,MQ,762,20130102,19000101200400
3409,9E,340,20130102,19000101220600
731,DL,502,20130103,19000101075900
4250,EV,645,20130103,19000101112600
4670,MQ,764,20130103,19000101113000
717,B6,1598,20130103,19000101131900
4601,MQ,764,20130103,19000101132800
4347,EV,266,20130103,19000101133200
4135,EV,529,20130103,19000101142100
1251,WN,1620,20130103,19000101151300
4120,EV,282,20130103,19000101152200
3452,9E,187,20130103,19000101155800
1668,UA,1608,20130103,19000101164700
341,AA,733,20130103,19000101173500
1619,DL,1020,20130103,19000101183200
1176,B6,200,20130103,19000101183600
4655,MQ,764,20130104,19000101093800
4490,MQ,479,20130104,19000101095100
914,DL,1620,20130104,19000101104200
313,AA,733,20130104,19000101104400
59,AA,2586,20130104,19000101110600
2319,DL,1020,20130104,19000101121100
1847,DL,762,20130104,19000101121900
4658,MQ,762,20130104,19000101153500
602,B6,273,20130104,19000101153600
4357,9E,290,20130104,19000101160700
680,WN,711,20130104,19000101164000
4178,9E,264,20130104,19000101174300
4667,EV,1008,20130104,19000101174500
1111,B6,427,20130104,19000101195200
4333,EV,1215,20130104,19000101215800
399,B6,950,20130104,19000101233400
185,AA,2475,20130105,19000101010000
43,B6,944,20130105,19000101020200
1627,UA,1023,20130105,19000101084300
20,B6,264,20130105,19000101085600
4548,EV,416,20130105,19000101100500
3,B6,1069,20130105,19000101110600
3353,9E,509,20130105,19000101110800
4670,MQ,764,20130105,19000101112600
1231,DL,502,20130105,19000101163700
83,B6,2422,20130105,19000101165700
377,B6,1076,20130105,19000101175900
509,B6,1065,20130105,19000101191200
1467,AA,1096,20130105,19000101191300
4484,MQ,764,20130105,19000101194200
6,DL,1990,20130105,19000101222700
1019,US,529,20130106,19000101081000
2119,DL,1020,20130106,19000101093700
3422,9E,187,20130106,19000101095300
1229,UA,1620,20130106,19000101102100
477,WN,169,20130106,19000101131000
553,B6,1068,20130106,19000101131100
17,B6,1069,20130106,19000101131300
952,UA,1068,20130106,19000101133000
641,B6,2586,20130106,19000101144500
4689,EV,628,20130106,19000101144900
673,B6,2475,20130106,19000101151800
1197,WN,738,20130106,19000101162000
3835,EV,748,20130106,19000101171100
1176,B6,200,20130106,19000101172000
1769,AA,1089,20130106,19000101185300
4997,EV,488,20130106,19000101190100
4702,EV,445,20130106,19000101190200
2042,DL,746,20130106,19000101192800
511,F9,1620,20130106,19000101194600
981,WN,738,20130106,19000101201300
1255,DL,335,20130106,19000101201400
359,B6,2465,20130106,19000101223300
4133,EV,594,20130106,19000101224100
645,B6,2586,20130106,19000101225200
1837,AA,1096,20130107,19000101090800
4655,MQ,764,20130107,19000101093700
4548,EV,416,20130107,19000101104700
1277,US,544,20130107,19000101120100
1647,DL,762,20130107,19000101133900
4893,EV,488,20130107,19000101143300
244,UA,1605,20130107,19000101171400
471,UA,1504,20130107,19000101180200
216,WN,711,20130107,19000101184300
3375,9E,1587,20130107,19000101200500
1585,DL,950,20130107,19000101201200
2187,US,214,20130107,19000101201800
3768,MQ,719,20130108,19000101073200
926,US,529,20130108,19000101085500
11,AS,2402,20130108,19000101103700
181,DL,502,20130108,19000101111300
4670,MQ,764,20130108,19000101111800
4711,EV,872,20130108,19000101112500
4187,EV,748,20130108,19000101114400
1819,DL,1020,20130108,19000101165300
3523,9E,740,20130108,19000101170400
119,B6,1182,20130108,19000101172000
1307,B6,228,20130108,19000101191300
446,UA,1620,20130108,19000101192900
413,VX,2475,20130108,19000101204200
4532,EV,628,20130108,19000101212100
87,DL,2475,20130108,19000101222300
1613,AA,1598,20130109,19000101005300
1172,B6,200,20130109,19000101091000
601,UA,1416,20130109,19000101104600
1271,DL,1069,20130109,19000101110200
11,VX,2586,20130109,19000101112300
4107,EV,820,20130109,19000101112500
717,AA,1389,20130109,19000101114400
4279,EV,1092,20130109,19000101134000
2099,AA,1096,20130109,19000101144000
1164,UA,1065,20130109,19000101163600
4429,MQ,479,20130109,19000101165500
157,B6,944,20130109,19000101184400
4027,9E,569,20130109,19000101191100
257,AA,2248,20130109,19000101193900
1433,US,544,20130110,19000101081800
1663,UA,1416,20130110,19000101095000
4490,MQ,479,20130110,19000101095500
517,B6,937,20130110,19000101101800
1539,UA,1372,20130110,19000101110100
181,B6,2446,20130110,19000101112800
1558,WN,2133,20130110,19000101113100
5711,EV,228,20130110,19000101113500
2171,US,214,20130110,19000101115400
41,B6,944,20130110,19000101121700
2219,DL,1020,20130110,19000101133900
1483,UA,719,20130110,19000101142700
4577,MQ,544,20130110,19000101153300
323,WN,738,20130110,19000101164700
4146,MQ,483,20130110,19000101171100
4705,EV,746,20130110,19000101191900
691,UA,733,20130110,19000101194600
503,DL,2446,20130110,19000101201300
711,B6,2248,20130110,19000101210000
4569,MQ,431,20130110,19000101213000
1178,B6,200,20130110,19000101214000
4536,EV,569,20130110,19000101214600
3744,MQ,719,20130110,19000101220900
4204,EV,1325,20130110,19000101221900
4533,EV,282,20130111,19000101072100
6055,EV,229,20130111,19000101072200
4246,EV,488,20130111,19000101093800
3422,9E,187,20130111,19000101095400
389,B6,950,20130111,19000101095400
20,B6,264,20130111,19000101101500
2047,DL,762,20130111,19000101103200
5736,EV,229,20130111,19000101113300
5273,EV,335,20130111,19000101124100
503,B6,1065,20130111,19000101124600
373,B6,1076,20130111,19000101133300
4158,EV,277,20130111,19000101140600
1612,UA,1372,20130111,19000101154800
4588,MQ,1020,20130111,19000101160200
1600,UA,2454,20130111,19000101190600
2042,DL,746,20130111,19000101191800
5038,EV,866,20130111,19000101202100
608,B6,273,20130111,19000101234900
4636,EV,199,20130112,19000101103700
1,AA,2475,20130112,19000101121900
353,FL,397,20130112,19000101130700
32,B6,264,20130112,19000101141100
2099,AA,1096,20130112,19000101143800
1010,B6,187,20130112,19000101151100
3983,9E,288,20130112,19000101164200
315,DL,1598,20130112,19000101173300
703,B6,1598,20130112,19000101203800
43,B6,944,20130113,19000101011100
1787,AA,1005,20130113,19000101014200
3611,9E,340,20130113,19000101092500
102,B6,301,20130113,19000101094400
56,B6,266,20130113,19000101103100
4478,MQ,502,20130113,19000101103100
4610,MQ,762,20130113,19000101104200
59,B6,1005,20130113,19000101115000
373,B6,1076,20130113,19000101133100
1707,UA,997,20130113,19000101141500
565,UA,2227,20130113,19000101150200
525,B6,937,20130113,19000101160000
1297,UA,719,20130113,19000101160200
3719,9E,292,20130113,19000101165900
1719,UA,404,20130113,19000101175600
343,UA,1504,20130113,19000101175900
161,UA,2475,20130113,19000101183700
1695,DL,1010,20130113,19000101184100
4,DL,944,20130113,19000101184400
4241,EV,199,20130114,19000101075800
650,UA,1416,20130114,19000101085900
2165,US,214,20130114,19000101093300
397,UA,2586,20130114,19000101112400
25,B6,1069,20130114,19000101123600
4250,EV,645,20130114,19000101144400
315,DL,1598,20130114,19000101154200
4687,EV,569,20130114,19000101161400
349,FL,762,20130114,19000101164700
161,WN,1605,20130114,19000101184500
4525,MQ,1147,20130114,19000101191400
391,B6,950,20130114,19000101203500
812,UA,2227,20130114,19000101210100
1141,AA,1089,20130115,19000101082900
3856,9E,760,20130115,19000101092700
309,AA,733,20130115,19000101093600
