arrival_time,arrival_date,airline,passengers,flight_number
03:14:00,2013-01-01,EV,1092,4321
08:54:00,2013-01-01,AA,733,305
09:22:00,2013-01-01,UA,1023,556
09:59:00,2013-01-01,DL,1076,1879
10:02:00,2013-01-01,DL,1096,2003
10:56:00,2013-01-01,UA,200,856
10:57:00,2013-01-01,DL,1089,1843
11:52:00,2013-01-01,MQ,544,4582
12:21:00,2013-01-01,B6,1028,57
12:25:00,2013-01-01,US,541,1441
12:35:00,2013-01-01,DL,1010,2137
12:38:00,2013-01-01,B6,1035,361
12:58:00,2013-01-01,UA,937,501
13:02:00,2013-01-01,MQ,502,4589
13:09:00,2013-01-01,B6,1521,1061
13:46:00,2013-01-01,UA,1634,1519
14:52:00,2013-01-01,DL,187,2068
14:54:00,2013-01-01,B6,1069,1
16:25:00,2013-01-01,UA,2454,1425
16:54:00,2013-01-01,MQ,431,4447
16:55:00,2013-01-01,B6,301,8
17:12:00,2013-01-01,9E,94,4088
17:14:00,2013-01-01,WN,711,4105
17:28:00,2013-01-01,AA,944,1813
17:48:00,2013-01-01,MQ,665,4309
17:58:00,2013-01-01,UA,1068,379
18:08:00,2013-01-01,MQ,290,4323
18:24:00,2013-01-01,MQ,719,3695
19:56:00,2013-01-01,US,2133,656
21:44:00,2013-01-01,UA,1065,1292
22:05:00,2013-01-01,WN,711,195
09:51:00,2013-01-02,DL,1990,1415
10:06:00,2013-01-02,B6,2475,671
12:23:00,2013-01-02,DL,1020,2319
13:54:00,2013-01-02,EV,725,4322
13:58:00,2013-01-02,B6,187,1006
14:36:00,2013-01-02,VX,2475,409
14:51:00,2013-01-02,UA,1605,1492
15:09:00,2013-01-02,DL,2475,863
16:14:00,2013-01-02,UA,2133,1114
16:37:00,2013-01-02,MQ,425,4172
17:55:00,2013-01-02,B6,1028,141
18:26:00,2013-01-02,AA,1096,1925
19:15:00,2013-01-02,UA,1605,1556
19:23:00,2013-01-02,WN,185,4844
20:26:00,2013-01-02,UA,937,1109
20:40:00,2013-01-02,UA,1400,1125
20:54:00,2013-01-02,US,544,1491
21:26:00,2013-01-02,DL,760,951
23:51:00,2013-01-02,UA,2454,1595
