arrival_time,arrival_date,airline,passengers,flight_number
13:09:00,2013-01-01,B6,1521,1061
15:04:00,2013-01-01,EV,282,4254
17:33:00,2013-01-01,US,544,1665
17:35:00,2013-01-01,B6,2422,83
00:54:00,2013-01-02,DL,1096,2139
15:21:00,2013-01-02,UA,2565,391
16:37:00,2013-01-02,MQ,425,4172
17:13:00,2013-01-02,9E,264,3792
07:24:00,2013-01-03,UA,200,1483
07:56:00,2013-01-03,MQ,502,4401
09:40:00,2013-01-03,MQ,427,4406
11:55:00,2013-01-03,DL,1035,2395
15:34:00,2013-01-03,UA,2133,1227
16:33:00,2013-01-03,B6,1005,27
22:33:00,2013-01-03,DL,2475,87
17:45:00,2013-01-04,EV,569,4352
18:53:00,2013-01-04,MQ,762,4661
19:04:00,2013-01-04,US,544,1447
20:31:00,2013-01-04,AA,1389,785
21:01:00,2013-01-04,AS,2402,7
22:03:00,2013-01-04,DL,2248,1729
22:27:00,2013-01-04,DL,1010,1435
13:20:00,2013-01-05,B6,1065,503
13:27:00,2013-01-05,US,2153,196
18:05:00,2013-01-05,MQ,213,4410
00:02:00,2013-01-06,B6,950,399
12:44:00,2013-01-06,DL,2248,1529
18:05:00,2013-01-06,DL,746,1942
07:46:00,2013-01-07,DL,502,731
15:53:00,2013-01-07,AA,1096,2253
18:07:00,2013-01-07,EV,533,4092
18:38:00,2013-01-07,WN,872,440
20:29:00,2013-01-07,DL,1969,1185
23:23:00,2013-01-07,EV,820,4644
23:38:00,2013-01-07,B6,1626,97
08:42:00,2013-01-08,MQ,1020,4599
09:11:00,2013-01-08,UA,1023,1627
12:30:00,2013-01-08,B6,2248,197
15:41:00,2013-01-08,UA,200,425
20:36:00,2013-01-08,UA,1416,990
22:39:00,2013-01-08,MQ,764,4660
02:58:00,2013-01-09,B6,1598,713
09:09:00,2013-01-09,EV,645,4393
11:19:00,2013-01-09,AA,1372,2083
11:54:00,2013-01-09,AA,2586,59
13:00:00,2013-01-09,WN,169,477
17:06:00,2013-01-09,EV,143,4271
07:46:00,2013-01-10,MQ,502,4401
09:51:00,2013-01-10,AA,733,313
12:58:00,2013-01-10,DL,1598,301
13:58:00,2013-01-10,B6,2586,641
16:24:00,2013-01-10,EV,284,4571
16:59:00,2013-01-10,MQ,431,4447
18:30:00,2013-01-10,DL,2475,963
18:58:00,2013-01-10,DL,1089,161
23:37:00,2013-01-10,B6,937,529
09:23:00,2013-01-11,9E,340,3611
10:54:00,2013-01-11,US,541,487
12:26:00,2013-01-11,MQ,502,4589
18:32:00,2013-01-11,EV,199,4373
18:43:00,2013-01-11,EV,533,4092
09:37:00,2013-01-12,9E,740,3521
15:35:00,2013-01-12,AA,1089,2041
18:02:00,2013-01-12,UA,1605,256
23:18:00,2013-01-12,B6,1428,629
01:25:00,2013-01-13,9E,647,4033
04:35:00,2013-01-13,B6,1598,701
08:00:00,2013-01-13,UA,719,1277
