flight_number,airline,passengers,arrival_date,arrival_time
4646,WN,185,20130101,19000101072100
49,B6,1028,20130101,19000101084900
1124,UA,2565,20130101,19000101092300
1855,AA,888,20130101,19000101102700
4670,MQ,764,20130101,19000101114100
1223,UA,1372,20130101,19000101115100
4693,EV,195,20130101,19000101130200
4118,EV,488,20130101,19000101145100
1459,US,544,20130101,19000101150100
4640,EV,533,20130101,19000101151800
391,UA,2565,20130101,19000101152500
2043,DL,760,20130101,19000101160600
615,B6,828,20130101,19000101160800
337,AA,733,20130101,19000101163500
1663,UA,1608,20130101,19000101164500
1445,US,544,20130101,19000101165100
720,US,529,20130101,19000101165200
4687,EV,569,20130101,19000101170100
4323,MQ,290,20130101,19000101180800
133,AA,2475,20130101,19000101185300
689,UA,733,20130101,19000101185600
698,UA,200,20130101,19000101203300
7,AS,2402,20130101,19000101211100
1611,AA,1096,20130101,19000101213200
1643,DL,2422,20130101,19000101215400
1444,UA,997,20130101,19000101215700
1002,B6,187,20130102,19000101073200
402,UA,2227,20130102,19000101080900
763,DL,2475,20130102,19000101103100
4159,EV,209,20130102,19000101105100
4654,MQ,762,20130102,19000101121900
974,UA,2565,20130102,19000101124600
5218,EV,335,20130102,19000101124800
4247,EV,416,20130102,19000101134200
3223,WN,738,20130102,19000101140300
4412,EV,550,20130102,19000101143100
1200,UA,719,20130102,19000101143700
2068,DL,187,20130102,19000101150400
1010,B6,187,20130102,19000101155800
720,US,529,20130102,19000101165100
3823,MQ,213,20130102,19000101165200
4429,MQ,479,20130102,19000101165300
95,DL,760,20130102,19000101183800
137,B6,1074,20130102,19000101192200
985,B6,1010,20130102,19000101192200
3925,9E,340,20130102,19000101193200
547,B6,1023,20130102,19000101211000
1128,UA,1416,20130102,19000101222500
328,UA,404,20130103,19000101075300
4941,EV,1008,20130103,19000101075600
604,UA,2454,20130103,19000101094600
759,UA,997,20130103,19000101103400
505,UA,1372,20130103,19000101110700
413,AA,1598,20130103,19000101112800
1,AA,2475,20130103,19000101114400
59,B6,1005,20130103,19000101114700
1855,AA,888,20130103,19000101115000
3792,MQ,213,20130103,19000101120600
24,B6,266,20130103,19000101125100
4158,EV,277,20130103,19000101141300
3,AA,2475,20130103,19000101144600
315,DL,1598,20130103,19000101160300
473,UA,1065,20130103,19000101183600
1721,UA,2454,20130103,19000101201400
3542,9E,1029,20130103,19000101204800
4410,EV,602,20130103,19000101210200
1269,UA,1023,20130103,19000101210800
1596,UA,733,20130103,19000101212000
4304,EV,569,20130103,19000101220000
104,B6,301,20130104,19000101000900
1071,UA,1585,20130104,19000101020900
707,B6,1598,20130104,19000101050500
3856,9E,760,20130104,19000101085100
772,UA,1085,20130104,19000101093400
4051,9E,184,20130104,19000101095400
763,DL,2475,20130104,19000101101300
2083,AA,1372,20130104,19000101101500
443,AA,1089,20130104,19000101102200
1718,UA,1416,20130104,19000101120000
1,AA,2475,20130104,19000101121000
361,B6,1035,20130104,19000101122800
952,UA,1068,20130104,19000101135400
3,AA,2475,20130104,19000101144700
687,UA,719,20130104,19000101171100
1813,AA,944,20130104,19000101180700
341,AA,733,20130104,19000101181500
74,B6,266,20130104,19000101183500
4532,EV,628,20130104,19000101213500
4649,MQ,1020,20130104,19000101213900
1729,DL,2248,20130104,19000101220300
1127,UA,2565,20130104,19000101221100
4573,MQ,502,20130104,19000101231200
1613,AA,1598,20130104,19000101235100
43,B6,944,20130105,19000101020200
20,B6,264,20130105,19000101085600
675,US,529,20130105,19000101095800
5698,EV,229,20130105,19000101110800
553,B6,1068,20130105,19000101114400
4131,EV,416,20130105,19000101122600
1174,B6,200,20130105,19000101132900
408,WN,711,20130105,19000101140200
642,UA,2586,20130105,19000101140400
3393,9E,213,20130105,19000101162300
1029,UA,1400,20130105,19000101171500
1813,AA,944,20130105,19000101173700
5085,EV,461,20130105,19000101174900
4410,MQ,213,20130105,19000101180500
2139,DL,1096,20130105,19000101191100
1499,DL,762,20130105,19000101193300
2019,DL,1020,20130105,19000101194300
137,B6,1074,20130105,19000101201000
104,B6,301,20130105,19000101225900
529,B6,937,20130106,19000101005400
713,B6,1598,20130106,19000101030400
4051,9E,184,20130106,19000101094000
3667,9E,94,20130106,19000101105200
3,B6,1069,20130106,19000101110800
17,B6,1069,20130106,19000101131300
2128,US,184,20130106,19000101134900
1519,UA,1634,20130106,19000101141100
1275,DL,1990,20130106,19000101142700
4129,EV,199,20130106,19000101143200
4475,MQ,431,20130106,19000101150100
2223,AA,888,20130106,19000101171800
4415,MQ,431,20130106,19000101173600
1771,DL,509,20130106,19000101181400
675,B6,2475,20130106,19000101193600
185,B6,2446,20130106,19000101194200
4133,EV,594,20130106,19000101224100
1838,AA,187,20130107,19000101091500
675,US,529,20130107,19000101095500
11,VX,2586,20130107,19000101102900
485,DL,746,20130107,19000101110500
1161,B6,1035,20130107,19000101163400
4581,EV,725,20130107,19000101171900
4576,EV,605,20130107,19000101172000
4352,EV,569,20130107,19000101173700
2347,DL,762,20130107,19000101173900
393,B6,950,20130107,19000101175200
449,US,529,20130107,19000101185900
771,UA,2475,20130107,19000101225000
43,B6,944,20130108,19000101001000
4599,MQ,1020,20130108,19000101084200
1014,UA,1416,20130108,19000101093300
1815,AA,944,20130108,19000101094900
565,UA,2227,20130108,19000101114800
1558,WN,2133,20130108,19000101115700
24,B6,266,20130108,19000101120500
133,B6,1074,20130108,19000101143100
3728,MQ,719,20130108,19000101152300
4628,EV,872,20130108,19000101152500
4447,MQ,431,20130108,19000101164600
393,B6,950,20130108,19000101175000
216,WN,711,20130108,19000101185300
1307,B6,228,20130108,19000101191300
161,DL,1089,20130108,19000101192400
4569,MQ,431,20130108,19000101204500
477,UA,2227,20130109,19000101011100
1142,UA,200,20130109,19000101081200
125,B6,1069,20130109,19000101090500
1030,UA,2475,20130109,19000101092600
4418,MQ,213,20130109,19000101094200
4655,EV,1134,20130109,19000101102700
715,B6,1598,20130109,19000101115400
1626,UA,2425,20130109,19000101120200
1705,UA,200,20130109,19000101125000
4485,MQ,479,20130109,19000101130100
215,B6,1608,20130109,19000101140700
1690,UA,937,20130109,19000101140800
743,AA,1389,20130109,19000101151000
2253,AA,1096,20130109,19000101153100
781,DL,762,20130109,19000101154200
525,B6,937,20130109,19000101161800
3393,9E,213,20130109,19000101162600
3823,MQ,213,20130109,19000101164700
1790,AA,187,20130109,19000101175900
161,DL,1089,20130109,19000101192800
512,UA,2586,20130109,19000101212200
979,UA,2133,20130109,19000101212300
530,WN,725,20130109,19000101221700
1147,DL,762,20130109,19000101223200
4573,MQ,502,20130109,19000101223400
4348,EV,1008,20130109,19000101225000
713,B6,1598,20130110,19000101025400
4636,EV,199,20130110,19000101103500
1429,US,544,20130110,19000101103600
