flight_number,airline,passengers,arrival_date,arrival_time
1815,AA,944,20130101,19000101094900
1051,B6,340,20130101,19000101100500
503,B6,1065,20130101,19000101125500
371,B6,1076,20130102,19000101090900
4471,MQ,431,20130102,19000101121900
4429,MQ,479,20130102,19000101165300
4361,EV,631,20130102,19000101230200
165,B6,2454,20130102,19000101231400
1895,AA,1085,20130103,19000101091700
3405,9E,213,20130103,19000101093800
1885,DL,950,20130103,19000101122300
1085,US,544,20130103,19000101133000
3792,MQ,213,20130104,19000101120300
523,B6,937,20130104,19000101143600
1672,UA,1400,20130104,19000101194000
1574,UA,404,20130104,19000101215200
1815,AA,944,20130105,19000101095500
1441,US,541,20130105,19000101120000
1443,US,541,20130105,19000101133900
3452,9E,187,20130105,19000101154800
1111,B6,427,20130106,19000101193600
4415,MQ,431,20130108,19000101174400
1865,DL,2586,20130109,19000101105200
3762,9E,569,20130109,19000101145600
4540,MQ,502,20130109,19000101183800
303,AA,733,20130110,19000101075300
102,B6,301,20130110,19000101075400
1030,UA,2475,20130110,19000101093200
1167,DL,1005,20130110,19000101104600
181,DL,502,20130110,19000101105600
4240,EV,282,20130110,19000101120600
348,FL,762,20130110,19000101153800
4571,EV,284,20130110,19000101162400
4429,MQ,479,20130110,19000101164200
3373,9E,427,20130110,19000101204700
97,B6,1626,20130111,19000101003100
4357,9E,290,20130111,19000101165100
5486,EV,335,20130111,19000101174600
4183,9E,427,20130112,19000101174400
1131,UA,200,20130112,19000101180500
383,B6,1076,20130112,19000101235400
20,B6,264,20130113,19000101104000
739,B6,1617,20130114,19000101042900
3127,WN,169,20130115,19000101071900
79,B6,944,20130115,19000101091500
1813,AA,944,20130115,19000101175000
629,B6,1428,20130115,19000101235200
125,B6,1069,20130116,19000101092000
527,B6,937,20130116,19000101233200
1429,DL,2248,20130117,19000101111200
1275,UA,2454,20130117,19000101124200
4485,MQ,479,20130117,19000101125900
3320,9E,301,20130117,19000101211600
346,FL,762,20130118,19000101102300
