arrival_time,arrival_date,airline,passengers,flight_number
09:23:00,2013-01-01,UA,2565,1124
10:06:00,2013-01-01,MQ,479,4490
10:25:00,2013-01-01,UA,1620,477
10:32:00,2013-01-01,EV,416,4548
10:43:00,2013-01-01,B6,1041,341
10:52:00,2013-01-01,B6,427,1103
12:33:00,2013-01-01,UA,1726,1597
14:14:00,2013-01-01,MQ,719,3697
14:21:00,2013-01-01,UA,1023,1143
14:29:00,2013-01-01,AA,1085,1623
15:07:00,2013-01-01,US,529,1615
16:22:00,2013-01-01,WN,1411,2596
16:24:00,2013-01-01,AA,1389,745
16:38:00,2013-01-01,VX,2475,411
18:03:00,2013-01-01,AA,1089,1769
18:35:00,2013-01-01,AA,1372,883
20:02:00,2013-01-01,US,2153,35
21:17:00,2013-01-01,B6,2465,217
22:00:00,2013-01-01,DL,950,1485
22:33:00,2013-01-01,DL,2446,503
23:39:00,2013-01-01,DL,1598,329
08:06:00,2013-01-02,US,214,2163
09:49:00,2013-01-02,AS,2402,11
12:55:00,2013-01-02,DL,746,2343
14:37:00,2013-01-02,B6,937,523
15:58:00,2013-01-02,B6,187,1010
16:18:00,2013-01-02,UA,404,1184
16:26:00,2013-01-02,B6,950,393
17:36:00,2013-01-02,UA,2586,257
19:21:00,2013-01-02,AA,740,1351
19:40:00,2013-01-02,UA,4963,15
20:03:00,2013-01-02,DL,762,1499
20:31:00,2013-01-02,AA,2248,257
20:40:00,2013-01-02,UA,1400,1125
20:44:00,2013-01-02,AA,2446,145
21:04:00,2013-01-02,UA,2227,754
21:43:00,2013-01-02,9E,541,3798
00:20:00,2013-01-03,B6,937,529
10:24:00,2013-01-03,US,2133,245
10:31:00,2013-01-03,UA,719,548
10:43:00,2013-01-03,AA,1069,825
12:43:00,2013-01-03,MQ,502,4589
13:44:00,2013-01-03,UA,2565,1298
14:55:00,2013-01-03,AA,1085,1623
15:10:00,2013-01-03,MQ,431,4475
18:05:00,2013-01-03,EV,169,4342
18:17:00,2013-01-03,9E,187,3453
18:37:00,2013-01-03,9E,665,3427
18:47:00,2013-01-03,DL,1096,2115
19:59:00,2013-01-03,B6,1028,143
20:14:00,2013-01-03,UA,2454,1721
21:08:00,2013-01-03,UA,1065,1292
21:35:00,2013-01-03,B6,944,9
21:38:00,2013-01-03,B6,1598,699
07:45:00,2013-01-04,EV,488,4911
10:00:00,2013-01-04,EV,488,4246
11:07:00,2013-01-04,AA,733,319
13:43:00,2013-01-04,AA,2586,179
13:54:00,2013-01-04,UA,1068,952
15:04:00,2013-01-04,MQ,431,4475
16:53:00,2013-01-04,UA,1023,424
16:55:00,2013-01-04,UA,1065,1164
19:21:00,2013-01-04,AA,2248,257
20:14:00,2013-01-04,DL,1969,1185
22:44:00,2013-01-04,MQ,213,4449
22:55:00,2013-01-04,DL,2586,1465
00:09:00,2013-01-05,B6,209,22
02:07:00,2013-01-05,B6,1598,701
09:00:00,2013-01-05,B6,1005,71
11:32:00,2013-01-05,DL,1035,2395
